,event,target,cleantarget,perpetrator,perpgender,gendersquash,cleandiscipline,itype,cleantarget_new,perpetrator_new,cleandiscipline_new,story_word_count,index
50,"I was seduced and then raped twice by a professor with whom I was then taking a seminar. The rapes took place in my apartment and at his.  He also frequently pushed me up against the wall in his office and undressed me and fondled and kissed me, against my will.  I was immobilized. ",1st year graduate student,1St Year Graduate Student,My professor.  Someone I hoped to work with in the future. ,Male,Male,Comparative Literature,Elite Institution,Graduate Student,Faculty,Humanities,57,
51,"I went to a colleague's apartment to help him set up his VCR as he was blind and said he couldn't do it himself. While there he started to grope me and kiss me. I was able to get away from him and leave, perhaps because he was blind. He continually over the next few weeks tried to corner me at work to say I misunderstood his intentions. ","I was an instructor, full time, but ABD, so could not be considered an assistant professor yet. ","I was an instructor, full time, but ABD, so could not be considered an assistant professor yet. ","He was an assistant professor, we were hired the same year, 2000",Male,Male,Communicaiton,Regional College,Faculty,Faculty,Social sciences,69,
52,"For my sister who refuses to discuss: circa 1999, she was an undergraduate researcher (she was about 21 at the time) who was hired to do data samples at rural location about two hours away. She was working ""for"" [international/male] doctoral candidate. They checked in at hotel and he insisted they share a room with twin beds. She awoke middle of the night to him standing at the end of her bed, possibly masturbating. She told him to go away, called me and I managed to contact a nearby family member who immediately went to pick her up middle of the night. ",undergraduate researcher,Undergraduate Researcher,doctoral candidate,Male,Male,Agroforestry,Research Institute,Undergraduate Student,Graduate Student,Natural sciences,103,
53,"Two years ago this upcoming spring, a prospective graduate student visiting my department took advantage of a dinner party that my friends and I held to welcome prospectives to the department to make inappropriate comments to myself and another female graduate student (both much younger than he). He made smacking motions behind the other graduate student's back when she bent over, miming spanking; and he told me repeatedly that I was ""dangerous"" in my low-cut dress, that he and his wife are in a don't ask, don't tell relationship, and that he is allowed to do what he wants on the top half of a woman. He was also aware that both me and my friend were involved with other people at the time.  ",I was a Ph.D. student.,I Was A Ph.D. Student.,He was a prospective graduate student finishing his MA at another program.,Male,Male,History,Research Institute,Graduate Student,Graduate Student,Humanities,126,
54,"A full-time professor in the design department (not my major) followed me around while I was working on installing a student show. He often stared at me during this process, going out of his way to speak with me DURING his classes. A tenured illustration professor asked a friend of mine if she would be interested in doing some private figure modeling (nude) for him. A graphic design professor would address female peers in my class (including myself) as ""woman."" A full-time staff member at the school texted a student to tell her about his crush on her among other uncomfortable things. He was her boss and she was an undergraduate student-worker. A full-time professor in the film/video department would tell students about his home-life (including his unhappiness with his marriage), would drink and get high in front of students, and went so far as to begin harassing a student online and through texts/calls. He would ask students not to tell anyone about these moments. He often took students out drinking, especially on trips. A professor in graphic design was caught staring down a girl's shirt and caught mumbling under his breath, ""There is a God."" The chair of the photo department would inappropriately speak to female students, ignore male students, and harassed/intimidated a fellow employee. Would stand behind her and watch what she was doing at work for long durations. Etcetera...",Undergraduate and I worked here after I graduated,Undergraduate and I worked here after I graduated,Professor or Colleague,Male,Male,Art,Regional College,Undergraduate Student,Faculty,Humanities,232,
55,"my freshman year at a private liberal-arts research university on the east coast.
#1: Fall semester: first guy invited me to a meeting in his office (we all had them) which he scheduled late in the day after most everyone had gone home. He required me to produce 6 drawings of myself naked. When I returned with the assigned work, he commented as much on my body as on my artistic skills. I tried to avoid one-on-one contact with him and, to counter gossip in dorm and class, I pretended the assignments were edgy, avant-garde experiments that I chose myself. I had to insist all the time I didn't have a crush on him. UGH! How could one improve if one couldn't work closely with the professor. Fortunately the work for that course was done outside the studio so I could limit my contact, if not stem the loss of the artistic skills a more noble man might have helped me develop.
#2: Spring semester: Second guy haunted the studio at night and on weekends when students were required to work there. He badgered us if we did not turn up nightly and accused us of not being serious artists. Over vacation, he invited himself to my empty dorm for dinner, expecting me to cook for him though I managed somehow to avoid his not-so-subtle advances. He kept asking inappropriate questions about my sexual experiences and insisted all inexperienced girls should have sex with a very experienced older man, etc. I hated being in the studio after hours and took an incomplete. I never finished his course. 
Because of these two creeps, I never took another art course at my undergrad university.",i was 18 and a freshman taking advanced studio art courses.,i was 18 and a freshman taking advanced studio art courses.,"--Professor #1 was 50, a full professor, and already had art in major museums
--Professor #2 was in his mid-30s, an up-and-coming artist who claimed to know lots of powerful people in the art world, visiting for a 1-yr professorship which was renewed for a second year. ",Male,Male,Art,Elite Institution,Graduate Student,Faculty,Humanities,280,
56,"Dean's ""small talk"" at the beginning of our lunch meeting included a story about how she'd recently volunteered at a sporting event so she could see female athletes naked. Later offered to give me a massage. Same dean kissed a female colleague on the lips at a dinner party, and has sent another female colleague ""thinking of you"" emails.",Assistant Professor,Assistant Professor,Associate Dean of my division,Female,Female,Humanities,Research Institute,Faculty,Chair/Dean/Head,Humanities,59,
57,"A student in my cohort ramped up a pattern of inappropriate sexual comments and behavior, culminating in sexual assault. Over time, she showed me her breasts and crotch, talked about the size of her vagina, and touched my breasts. At a bar one night, she repeatedly groped me and pushed up my skirt while I told her over and over to stop touching me and leave me alone. She grabbed my pussy from behind. She only quit after I screamed at her that I would punch her if she didn't stop. ",Graduate student,Graduate Student,Graduate student,Female,Female,Anthropology,Elite Institution,Graduate Student,Graduate Student,Social sciences,92,
58,"In 2012, just as I was beginning to explore my options for graduate school, the Honors Program director took me under her wing, She presented herself as an academic mentor, and she also hired me as a teaching assistant and student office worker. Over three months, she began to schedule meetings over lunch and dinner, began to write handwritten letters sent to my home, and pursuing long text message exchanges. At first these were work-focused, but gradually she began expressing dissatisfaction in her marriage and making suggestive comments about me. Eventually, this escalated to direct, forward comments imagining a sexual relationship with me. When I tried to deflect these comments by explaining that I was gay, she began to push harder, trying to “convert” me, and pressuring me to divulge details of my love and sex life, explaining that she had an appreciation for homosexual erotica. On one occasion she demanded I bring some files to her home, and when I did, she forced me into her bedroom and would not let me leave until I sat down on the bed. When I demanded an end to contact, she threatened to out me and blamed me, claiming that she believed I had been leading her on.",Undergraduate student,Undergraduate Student,"Faculty of record for a class I was enrolled in, administrator for a program I participated in, and direct supervisor",Female,Female,English,Research Institute,Undergraduate Student,Faculty,Humanities,206,
59,"My first tenure track position, I was struggling with some work pressures and asked for additional mentorship. One faculty member stepped up and helped, but then began putting increasing pressure on me to spend more time with her and to talk about details of my personal life. I appeased her, but the demands and threats of retaliation increased. She isolated me from colleagues, spreading rumors about me, and threatening to withdraw her support in an increasingly difficult department if I didn't give her the time and attention she wanted. Finally she lured me into a meeting in her car, where she sexually assaulted me. I refused to let her into my office after that, and so she retaliated by stalking and harassing me at home late at night, threatening my wife and friends. When I called 911 they said that they couldn't come out if there wasn't an active threat (phone calls and text messages weren't enough). I reported to title IX who negotiated an agreement between us. She now regularly retaliates against my graduate students by refusing them normal assistance that other faculty members give to students. She has stuck to the letter of the negotiated agreement, though, and so I don't feel like I can ask for more help navigating this. Many department colleagues remain hostile and avoidant to me, and even those who seem supportive handle me like a delicate, broken object instead of helping me to do my work more effectively.",Assistant professor,Assistant Professor,Associate professor,Female,Female,Music,Research Institute,Faculty,Faculty,Humanities,245,
60,"told I should let perp tie me up and pleasure me so I wouldn't be such a bitch. Also, separately, another individual"" ""you should change your personality"", as a woman, people will like you better.",full professor,Full Professor,full professor,Non-Binary,Other,Biology,Regional College,Faculty,Faculty,Natural sciences,35,311.0
61,I was manipulated and harassed by a tenured professor while working as his research assistant. 1989-90. University of California at Berkeley,"Graduate Student, Research Assistant ","Graduate Student, Research Assistant ","Tenured professor; my boss (married, heterosexual male)",Non-Binary,Other,History Of Art,Regional College,Faculty,Faculty,Humanities,21,2072.0
