,index,event,target,cleantarget,perpetrator,perpgender,gendersquash,cleandiscipline,itype,cleantarget_new,perpetrator_new,cleandiscipline_new
43,1488,"I don't know exactly, but I know at least two female grad students were affected. ",Undergrad in the same department,Undergrad in the same department,"Associate Professor, then full, director of undergrad studies (not sure if he was at the time of the incidents. He could have been associate only at the time) ",Male,Male,Spanish & Portuguese,Research Institute,Graduate Student,Graduate Student,Humanities
44,184,"I was almost fired when an older, more senior, faculty member constantly harassed me and sat in my office every day to eat his lunch, despite my protests that I was busy and he needed to leave.  I was given a reprimand for being a bad colleague.",Part-time lecturer,Part-Time Lecturer,Senior lecturer,Male,Male,English,Regional College,Faculty,Graduate Student,Humanities
45,1376,"This is about gender discrimination and bullying. I was bullied by sr male colleagues over a 12+ yr period, beginning right after tenure, continuing for the 12+ years that two men were dept chair. I stood up for women colleague being driven out of dept, which instigated bullying me. Both chairs constantly belittled me to others, behind my back and occasionally to my face. I had higher teaching load than everyone else one semester, I almost never got raises, I didn't get internal grants (which everyone else got), I was never on a search or tenure committee, I taught larger lecture courses than others. The worst part is I began to take on their critique of me, that I was not competent, unprofessional, not a research scholar, etc. My situation is far better now, but I never fully recovered. One of those bullying chairs also had an affair with a graduate student in dept at the time, paid her a settlement of some kind when the affair ended.",just after tenure,Just After Tenure,senior tenured faculty (full prof),Male,Male,History,Research Institute,Faculty,Graduate Student,Humanities
46,1735,"During an on-campus interview for a tenure-track position, the department chair suggested we take a walk rather than meet in his office. As we walked, he put his arm around me and told me that he was sure I was wondering about the dating prospects in the small town in which the college was located. He went on to say that he had met both of his wives in the town. He left me with the clear impression that he considered me a possible choice for wife #3. ",recent PhD,Recent Phd,"tenured professor, department chair",Male,Male,Anthropology,Regional College,Graduate Student,Chair/Dean/Head, Social sciences
47,1435,"As a first-year grad student, I and another female cohort member were attending a sponsored party at the field's annual meeting. One of our professors introduced us to his PhD advisor, a preeminent scholar from another institution. The advisor immediately congratulated our professor for having arrived at the party with two gorgeous women, and insinuated that our professor should consider ""sharing"" us with him. ",Graduate student,Graduate Student,Full professor at another university,Male,Male,Anthropology;Archaeology,Research Institute,Graduate Student,Faculty, Social sciences
48,909,"One of the professors in our department had serial affairs with graduate students and possibly undergrads. He openly had an affair with a grad student whom he was supervising while I was a student in the department. This impacted all of the students in the program as she took on his authority, telling other students what he had said about their work. I reported this to the ombudsman, but nothing could be done as I was not the one involved with him. He went on to continue his pattern of having affairs with students. It is no secret. I quit grad school. There were many reasons why I left, but the prof's behaviour and the university's inability to deal with it were part of the problem. ",Grad student,Grad Student,Professor,Male,Male,Humanities,Elite Institution,Graduate Student,Faculty,Humanities
49,1489,Professor assaulted me after threatening to commit suicide,Undergrad,Undergrad,Major director,Male,Male,Religion,Elite Institution,Graduate Student,Graduate Student,Humanities
50,1453,Society for the Scientific Study of Sexuality (SSSS) conference in Puerto Rico in 2008.,PhD student,Phd Student,Professors at another school,Male,Male,Sociology;Sex Research,Multiple,Graduate Student,Faculty, Social sciences
51,1381,"I reported a threat to a campus doctor who put me in touch with the campus police. The police ignored me but contacted the dept chair who had made her negative feelings for me known. The dept chair read my work email and harassed me for not voting for her to be chair when the dean solicited our votes. She then forced me to sit on a graduate committee with my harasser. she asked him for any incriminating evidence in private gmail communications. He gave her information about my oncological fertility preservation treatments. (we had been friends before the threatening behavior began, so the school tried to call me a liar). I was harassed by the dean and the dept chair about my fertility treatments. It was disgusting. I complained again and was demoted. ",Assistant professor,Assistant Professor,male colleague with help of the dept. chair and the dean,Male,Male,Art History,Research Institute,Faculty,Graduate Student,Humanities
52,1355,"Around 2007 or 2008 I started taking grad classes at 18 and began graduate school at 19 with 12 credits completed in literature. My advisor (who knew my age) asked me why I only had a 3.2 GPA. I told him that I had a 3.7 within my major. He told me he was surprised they accepted me into the program. I told him how the previous year, I was date raped by one man, and kidnapped and repeatedly raped and hit/choked by a second man, and was recently getting out of a sexually and physically abusive relationship. He told me ""everyone has excuses."" ",Graduate student,Graduate Student," Faculty, advisor. He was more than an adjunct.",Male,Male,English,Research Institute,Graduate Student,Faculty,Humanities
53,925,"I feel funny writing this, as I have been very lucky and not experienced the really terrible kinds of things that many others have reported. But I'm writing it anyway, to demonstrate that these kinds of issues have been with us for a long time; and that they stay with you for a long time - in my case, 40 years. My event happened in the mid-1970s. I was a really good teacher and had put in my hours so I would be awarded one of the few lectureship positions available to grad students. I wasn't given the lectureship, and I asked my advisor why.  I'll never forget him telling me that ""You have too much sex appeal to be successful in academia,"" and the award had to go to the student who had the most potential to succeed. Ironically, in a way, that person was a woman, apparently without so much sex appeal.",PhD student,Phd Student,My advisor,Male,Male,Psychology,Research Institute,Graduate Student,Faculty, Social sciences
54,1926,"Two female grad students were harassed and/or assaulted by their male advisor. One changed advisors and one left the department to another grad program. This came to my attention and I raised my concern of the advisor being assigned a young, female, international student. I was told to keep my mouth shut that the other faculty will ""take care of any issues"" and that ""institutional memory"" will prevent it from happening again.",Graduate program coordinator,Graduate Program Coordinator,Faculty,Male,Male,Spanish & Portuguese;Literature,Research Institute,Graduate Student,Faculty,Humanities
55,162,"Touched repeatedly in a professor's office. He asked if I wanted to go out for a drink that night or any future night. He suggested regular meetings in the evening in his office or out for drinks. When I declined these invitations, he gave me a C on a term paper. The other professor of the class (it was a team-taught class) reversed the grade when I showed him the paper. I did not tell the other professor what had transpired.",Graduate student,Graduate Student,Tenured Professor,Male,Male,History,Elite Institution,Graduate Student,Faculty,Humanities
56,54,"Intimidated by sports coach. I was in the school weight/machine room and watched a school coach get really close and make inappropriate comments to university female students he was training (this was back in the late 90s/early 200s, I don't remember exactly what he said). I mentioned to a young woman working out next to me (she didn't seem to be part of that group the coach was training) that I didn't like the way he spoke to the women. Next time I went to the gym the coach menacingly cornered me saying ""I hear you've been saying things about me and I'm not going to have that."" I answered, with my pulse racing at unimaginable speed and with the most clueless expression I could muster ""I have absolutely no idea what you are talking about."" He looked at me hesitatingly for what seemed an eternity (probably just a few seconds) and walked away but warned me to watch what I said. I never reported this incident to anybody for reasons I stated above. ",Grad student,Grad Student,I think he was a university coach (but nothing in relation to me).,Male,Male,History,Research Institute,Graduate Student,Staff,Humanities
57,1737,"Inappropriate comments on my papers. Example: ""Your volcanic liquid burns me.""",Undergraduate (third year),Undergraduate (Third Year),Professor ,Male,Male,English,Research Institute,Graduate Student,Faculty,Humanities
58,403,"I was in a summer program and my roommate was a female high school senior. She left the program after a graduate student took her on a car ride, where he was driving and she couldn't get out, and told her about what he wanted in a wife and how lonely he was.  I reported his behavior and he then found me in a parking lot late at night when I was walking back to the dorm alone to yell at me and tell me I was ruining his career and how he hadn't done anything and threaten that if I didn't recant what I said I would regret it. When I didn't back down and was entirely ready to engage in a physical altercation, he stormed off instead.",Undergraduate student,Undergraduate Student,"Graduate student, residential advisor",Male,Male,Computer Science,Elite Institution,Graduate Student,Graduate Student,Formal sciences
59,1396,"advisor would touch my thighs and said he had lascivious thoughts, asked  me out, try to see me at his house",phd student,Phd Student,famous full professor,Male,Male,Psychology,Research Institute,Graduate Student,Faculty, Social sciences
60,1565,"Playing musical chairs at a department party, my PhD advisor grabbed me by the waist and forced me to sit on his lap. ",Graduate student,Graduate Student,Professor; my major advisor,Male,Male,Ecology,Research Institute,Graduate Student,Graduate Student,Natural sciences
61,1963,"Series of inappropriate text messages - for example, a late night text reading ""in the bath, thinking of you"".","Lecturer, non-tenure track, newly appointed","Lecturer, non-tenure track, newly appointed","Lecturer, non-tenure track",Male,Male,Political Science,Regional College,Faculty,Faculty, Social sciences
62,840,"Over the course of three years, I was subjected to sexual innuendos and subtle intimidation from a professor who was the only one teaching classes I was required to take.  Incidents took place in his office when I was supposed to be getting feedback on my writing.  He commented on my weight, my age, suggesting that I would be prettier if thinner.  That I was too old to do well in grad. school.  That I needed to be more ""submissive"" (his word.)  He suggested that he was still sexually interested in me despite my ""flaws"" (his word.)",Graduate Student,Graduate Student,Tenured Full Professor,Male,Male,Art History,Research Institute,Graduate Student,Faculty,Humanities
63,1518,"I was in the pre-architecture after degree program at the University of Manitoba preparing for the masters of architecture. When I began it was the 1970s and I was the only woman, with the exception of one other who was just finishing her dissertation. Near the end of the year, one of the engineering profs approached me and said that he would pass me if I didn’t return the following year. I didn’t ask him if I had a failing grade on the final and he didn’t mention what my marks were in his course. I said nothing in response. What do you say to that? I didn’t return the following year because he had somehow convinced me that the degree was beyond me when I should have known that I was targeted for being a woman in a principally male field. I also should have known that if I had made it into the program that it was very likely I would succeed. ",Post Secondary pre-masters student,Post Secondary pre-masters student,A professor of one of my courses,Male,Male,Architecture,Elite Institution,Graduate Student,Faculty,Humanities
64,2274,"I was a student who had a professor that I developed a close relationship with. He became a mentor that I respected and trusted. One day while we were chatting in his office, as I was leaving, he grabbed and forced his tongue down my throat. In the moment I was so completely shocked that I just pulled away and said goodbye as normal. ",Student,Student,Professor,Man,Other,Business,Elite Institution,Undergraduate Student,Faculty,Applied science
65,2026,"One of my co-advisors began making sexual advances. He would call me to his office and spread his legs so I was caught in between them and would have to touch him if I wanted to leave. When I made it clear that I would not put up with it, he started punishing me academically. He gave me an F for a class without an explanation. When I confronted him about the F he sat next to me and touched my leg. I pushed him away and shouted at him. He then told me he was going to kick me out of the program and he did eventually.",Graduate Student,Graduate Student,Professor of Middle Eastern History,Male,Male,History,Elite Institution,Graduate Student,Faculty,Humanities
66,861,"I experienced sexual abuse, physical abuse, emotional abuse, manipulation, and gaslighting for 3 years by a professor/predator in my department. (There were at least 6 other students who experienced something similar with the same perpetrator to varying degrees). He used foreign countries and study abroad programs in order to gain the trust of his students and build ""relationships"" with them, once he had their trust and goodwill, he pounced and then used them/us as suited his needs. ",Graduate Student,Graduate Student,Professor,Male,Male,Classics;Archaeology,Research Institute,Graduate Student,Faculty,Natural sciences
67,1842,"An assistant professor (not my advisor) slept with two of his undergraduate students, to the detriment of his graduate students. One of his grad students ended up leaving, in part because he would prioritize these students over her, blowing of their meetings to go on dates with the students.  This professor would also make really inappropriate comments about another professor and her child, all while professing to be an ally and advocate.  In more minor incidents that have happened to me directly, my academic siblings would touch me inappropriately at parties or have conversations with my breasts.  I had a collaborator spend way too much time talking to me about my outfit, rather than my science.","I was a senior grad student, the students in question were undergrads","I was a senior grad student, the students in question were undergrads",Assistant Professor,Male,Male,Astrophysics,Research Institute,Graduate Student,Faculty,Natural sciences
68,1838,"In December of 2015, the Chair of my department got angry at me for questioning a scheduling decision and told me that he would like me to ""lift my skirt."" He then proceeded to tell me how many times he ""has thoughts about me"" and had to ""stop himself from coming down to my office."" After I sent him an email asking him not to speak like that to me anymore, he sent me three emails (to my university as well as my private email address) and put a 2-page typed letter under my office door.  He admitted in those emails and the letter what he had said and did.  So, this was not a ""he said/she said"" -- it was a ""she said/he agreed.""  After the email and letter under my door, which very much made my skin crawl, I filled out a harassment complaint.","I was the Chair of my department until I took a different position as a Director at my university.  However, I still taught in my former department so, in effect, I had two supervisors, one of whom was the person who  harassed me.","I was the Chair of my department until I took a different position as a Director at my university.  However, I still taught in my former department so, in effect, I had two supervisors, one of whom was the person who  harassed me.",The Chair of my department.,Male,Male,Business,Regional College,Chair/Dean/Head,Chair/Dean/Head,Applied science
69,392,"Four instances jump to mind, but there are, of course, many more. 

Instance 1) An major figure in the field came to give a talk on campus when I was an undergraduate student (not even 20 years old) and was lured up to the man's hotel room with the promise of a signed copy of his book as a thank you for driving him around during the day as we hosted him. I was pushed up against the wall as he stuck his tongue in my mouth and  started kissing me and asking me to stay so he could show his appreciation. I managed to get away, and went back to my dorm room. Somehow he got my phone number and proceeded to call me all night long asking me to come back or to see if he could come to my dorm room. This person some 20 years later is known for predatory behavior, yet he and his lawyer are so quick with legal claims about defamation and libel that it has gone largely unacknowledged until recently when a critical mass of young (and no longer so young) women have started speaking out collectively. His colleagues consistently look the other way and play dumb.

Instance 2)  Predatory faculty member was dating graduate and undergraduate students. It was an open secret, except to those targeted by professor. Others did not warn students or punish faculty member. 

Instance 3) Also occured when I was in graduate school. I took an undergraduate class in my subfield on an interesting topic, and the professor made sexually inappropriate comments all semester long. His girlfriend came to a class film screening and he said he hoped we didn't mind if her head was in his lap during the movie. He also invited us all to a co-ed naked hot tub party at his house to celebrate the end of the semester. I went to title 9 and the party was cancelled, but he told me he knew it was me who ""ruined everyone's fun"" in front of the class. 

Instance 4) As a junior faculty member it was mentioned to me by senior women in the department that when a certain male colleague gets upset with women faculty he stops talking to them for a year, and that I should expect it to happen at some point. During my second year as a faculty member he took umbrage to a concern I raised in a faculty email chain and stopped talking to me. Meaning that when I was talking with another colleague he would walk up, pretend I wasn't there, and begin his own conversation with the other faculty member. Everyone in the department knew this was going on and now one did anything. When I shared this with the dean, she told me ""oh yes, well he is a unique character"" and provided no resources or understanding about how this created a hostile environment for me. ",Undergrad; grad student; grad student; junior faculty,Undergrad; grad student; grad student; junior faculty,faculty; faculty; faculty; faculty,Male,Male,Ethnic Studies,Multiple,Graduate Student,Faculty,Humanities
70,2381,"A Full Professor announced on many occasions that he does or wears things because he heard through the grapevine that when a person does or wear those things, ""She is on her back with her knees behind her ears.""  ",Assistant Professor,Assistant Professor,Full Professor,Man,Other,Sociology,Research Institute,Faculty,Faculty, Social sciences
71,1366,"I was asking for a recommendation a few years after I had graduated. The professor asked me to come to his house to have lunch and talk about my plans, which we did. Then he asked me to take my shirt off, which I did because I needed the recommendation, as I had had a rocky time grade wise at my university. ",I was a recent graduate.,I Was A Recent Graduate.,He was a professor. He had works of art in major museums.,Male,Male,Art,Elite Institution,Graduate Student,Graduate Student,Humanities
72,1064,"I have been experiencing varying levels of harassment while collecting qualitative data (in public spaces) for my dissertation. When I went to one of my committee members to get advice, he responded, 'well, look what you look like.'",1 month from defending my dissertation proposal and becoming ABD.,1 month from defending my dissertation proposal and becoming ABD.,"Committee member, tenured professor, taught both my qualitative methods classes",Male,Male,Sociology,Research Institute,Graduate Student,Faculty, Social sciences
73,1864,"I was 18 when my first-year Philosophy professor starting following me around campus, under the pretence of 'wanting to borrow a book,' or whatever else. When I tried to begin sending more clear signals for him to leave me alone, he accused me of 'having been in a really bad mood lately.'

I was 20 when my German professor started sending excessively friendly emails. Employing the standard patriarchal defence, I mentioned having a boyfriend. ""Boyfriend?"" he wrote back, ""Damn."" He subsequently apologized. But still.

When I was an undergrad, one of my former TAs (a PhD student) starting sending me love letters. Because the class was over and we had become (sort of) friends, I wasn't sure whether this was wrong of him. It did, however, make me very uncomfortable. I wondered whether my success in that class and his praise for my work was all due to this attraction.

When I was a graduate student, a TA (yes, this grad course had a TA) began harassing me, bursting out of buildings when he saw me walking by, insisting (over email) that we were attracted to each other, that I had sent him encouraging signals. It made continuing in that class difficult.

When I was a new assistant professor, a more senior colleague (who now holds a key administrative position) asked a visiting scholar, somewhat jokingly, whether he was turning her on. Separately, and again, jokingly, he told me that he was wondering whether I had a crush on him. These things were meant to be funny. They weren't.
",Undergraduate/graduate student/assistant professor,Undergraduate/graduate student/assistant professor,Professors/TAs/senior colleagues,Male,Male,English,Multiple,Graduate Student,Graduate Student,Humanities
74,684,"Very senior very very famous emeritus had a long standing problem with leering at women, making inappropriate comments, standing too close, creeping in the building late at night so female grad students didn’t feel comfortable working in their offices. I had multiple encounters with vaguely skeezy interactions, but nothing actionable. Others were not so lucky. I also had a senior male faculty (interviewing when I was on the market) question whether I was qualified to do research on conflict, and suggest that I should be doing something more appropriate  ",Grad student ,Grad Student ,Senior faculty not in a supervisor role; second incident was someone interviewing me for a job,Male,Male,Political Science,Multiple,Graduate Student,Graduate Student, Social sciences
75,1602,"
During grad school: A professor made a lewd joke about my body in the middle of a seminar. I overheard countless transphobic and sexist remarks, from both faculty & grad students. A grad student suggested to me that the fact that a faculty member liked my work somehow had something to do with my looks/gender. All w/in the last 10 years.",grad student,Grad Student,senior faculty and grad students,Male,Male,Philosophy,Elite Institution,Graduate Student,Graduate Student,Humanities
76,899,"Whenever I had to go to his office he would stand immediately in front of me and stare at my breasts as we talked, never once looking me in the eyes.",Student,Student,My instructor,Male,Male,Liberal Arts,Regional College,Undergraduate Student,Faculty,Humanities
77,1440,"Repeated questioning of reality of trans people, personal questions about sex life",Postdoc,Postdoc,Tenured professor,Male,Male,Philosophy,Elite Institution,Graduate Student,Faculty,Humanities
78,233,"I was a lecturer in my second year at a university. My peer colleagues (all male) regularly complained about having to teach one night class every semester. Somehow I was never assigned night classes to teach, which we also discussed. I thought I was just lucky. Then came a standard meeting with our departmental administrator, when I asked him why everyone teaches night classes but me. He answered, calmly and as if this were obvious, “oh, I don’t give night classes to women. It’s not safe for them to be on campus at night.” I stared at him, shocked, and told him that was ridiculous and discriminatory and demanded to be assigned a night class for the following semester. He shrugged and did assign me night classes after that, relieving some pressure on my male colleagues. They were right that night classes are tough to teach, and the admin was wrong that women shouldn’t be on campus at night. ",Lecturer,Lecturer,Departmental administrator who organized course schedules,Male,Male,"Science, Technology, And Society",Research Institute,Faculty,Staff,Applied science
79,425,I was assaulted by a faculty member while at a summer music conference in 2012,"I was a master's student at a different institution from the one at which he was faculty; however, he had been very aggressively trying to recruit me for his institution's doctoral program.","I was a master's student at a different institution from the one at which he was faculty; however, he had been very aggressively trying to recruit me for his institution's doctoral program.","He was on faculty at the conference (in music composition, professors are often brought in to give private lessons or masterclasses for conference participants)",Male,Male,Music,Multiple,Graduate Student,Graduate Student,Humanities
80,331,"A sociologist of sexualities has a known reputation for sexually harassing and assaulting students, especially women who served as his graduate or research assistants. In his graduate level course on sexuality, he frequently made jokes about me and another gay male-presenting grad students in the course (e.g., joking that the two of us engaged in fisting). He once asked me and another gay male-presenting grad student to pose nude for his amateur photography. A woman grad student told me he once forced her against the wall and fingered her under her skirt.  Indiana sociology was well aware of his reputation but did nothing, even as women students he had harassed and assaulted dropped out of the PhD program.",PhD student (in his class),Phd Student (In His Class),Professor (graduate school),Male,Male,Sociology,Research Institute,Graduate Student,Graduate Student, Social sciences
81,552,A tenured professor and later the chair who was working with grad students would give teaching gigs and opportunities for additional employment/income/professional development based on gender and sexual orientation and also based on what other professors you worked with. This professor/chair also told inappropriate jokes in class and outed (though sarcastic mean-spirited jokes) LGBT students in class. This professor got away with it because she was a lesbian and it was disguised as playful. In class this professor would also question certain students intellect and make inappropriate jokes about not knowing about certain fields of research or not immediately grasping concepts/theories. ,grad student,Grad Student,"Chair, Professor",Female,Female,Humanities,Research Institute,Graduate Student,Chair/Dean/Head,Humanities
82,1945,"Repeatedly groped and threatened my scholarship revoked if I said anything as an undergrad. Know I was among at least 6, so probably more. Later, different degree and institution and field later, groped by a student while a first year faculty member",First year undergrad/first year faculty member,First year undergrad/first year faculty member,Advisor/advisee,Various incidents with people of different genders,Other,Music,Multiple,Graduate Student,Faculty,Humanities
83,610,"Before I arrived at graduate school, I was warned by my previous mentor to stay away from a particular tenured faculty member because he had a ""track record"". I actively avoid this faculty member, but know multiple graduate students who have been verbally attacked and sexually harassed by him. He even talks explicitly about sex and grad students at conferences. ",grad student,Grad Student,tenured faculty member,Male,Male,Anthropology,Elite Institution,Graduate Student,Faculty, Social sciences
84,546,"A long-tenured professor, known for being ""grabby"" and flirty with female graduate students, made a lewd remark about another female graduate student while I was in his office to discuss a presentation.","PhD student, on my way to candidacy (his course was one of the last I needed to take before defending comps)","PhD student, on my way to candidacy (his course was one of the last I needed to take before defending comps)",Professor in a seminar I was taking,Male,Male,Philosophy,Research Institute,Graduate Student,Faculty,Humanities
85,1932,"My MA supervisor insisted that we review and discuss my MRP at his apartment. At first I didn’t mind, but then he started calling me everyday to ask if I could come over so we could do some more edits. Sometimes he would order dinner and insist I stay and eat with him. After I defended and graduated my MA program, I decided to apply for a PhD program at another university which upset him. When applying for funding for this program, he refused to provide me with a reference letter unless I came over and we worked on my application together. 2 years later and from time to time he still calls or emails me. ",Student (MA and now PhD),Student (Ma And Now Phd),My MA supervisor ,Male,Male,Sociology,Other Type of School,Graduate Student,Graduate Student, Social sciences
86,1787,My advisor had a child with one of his other students.,student,Student,advisor,"Unsure (if harassment was anonymous, for example)",Other,Computer Science,Research Institute,Undergraduate Student,Faculty,Formal sciences
87,743,"During a graduate conference, a full professor who worked in another department on campus, but was affliated with the English Department smacked the buttox of a assistant professor and groped a female graduate student. ","PhD student, ABD","Phd Student, Abd","He brought money into the department. The year I ran the conference we tried to make changes, but we were blocked by the graduate director of the department of English because of his influence. ",Male,Male,English,Research Institute,Graduate Student,Graduate Student,Humanities
88,775,"A group of male students wrote very sexually explicit course evaluations about me (specially about my body parts). There were about 4-5 of them in the same class that were on the same theme so it was likely a coordinated effort by the students. I told the senior people at the university what happened but I didn't make a formal report (I did not know that was a possibility). A dean said, ""if she dresses like that, what does she expect"" to a group of my colleagues, who reported it back to me. (not that it is relevant AT ALL but I dress veeeeery conservatively)",first year TT professor (I am a cis woman),first year TT professor (I am a cis woman),students and a dean,Various incidents with people of different genders,Other,Political Science,Regional College,Graduate Student,Undergraduate Student, Social sciences
89,1663,"I went to graduate school straight out of college when I was 22. The chair of my department liked to pretend he was Jesus Christ. He had evening parties at his house on a regular basis that he invited students to, calling them his ""Disciples."" At these parties were a lot of drugs and alcohol, and predation upon female students by him and other male professors. I refused to attend any of them. I had a 4.0 GPA, including being the only one to earn an A in advanced statistics. During a meeting with various professors about how I was doing in the program, I was told by the department chair that he was 1) proud of my academic performance, but 2) disappointed he would not be able to give me a positive evaluation because I was not willing to come to his ""discipleship meetings"" (where he would hold forth, get his ego stroked, get girls drunk and have sex with them, along with other male professors.) Every other female student went along with the harassment but me, and most had sex with him and/or other professors, so I guess it really bothered him that I refused and thus I became a target. He put me on the spot in front of other professors about why I refused to ""socialize"" with him at his private home. I said some version of, ""I'm married and have other friends outside this department."" He said I was therefore not fully participating in the program. I went to my (female) advisor to complain, and she came down on me harshly, and said, ""You have to go along to get along. Don't come to me complaining when you suffer the consequences of your own actions."" I then went to my next class, taught by the professor/department chair with the Jesus complex. In the middle of class, it hit me that I just couldn't take it anymore. I stopped taking notes, shut my notebook, and at the end of class, left the building and never went back.",In a Masters program.,In A Masters Program.,Professor/Department Chair,Male,Male,Clinical Psychology,Regional College,Graduate Student,Chair/Dean/Head, Social sciences
90,778,"I have had many incidents, most of which are leaving me out of email, excluding me from departmental projects, or sending emails around about me which are slanderous to the department/school/executive group (more on this one below). I have also been denied access to departmental funds to take students on excavations (2000-present). Though there is one incident that I always report. I was called an 'hysterical feminist bitch' by a male colleague in 2003. He took credit for the development of a new MA, for which we were both designing,  in front of a group of students. He said 'my MA that I am so hard at work on'.  I said, that's 'we are doing it'. Just after the team taught class he screamed (I am not exaggerating) at me saying that I should never embarrass him in front of students. I responded that he should give credit to people for the work they are doing. His response was 'it's not important and you are behaving like an hysterical feminist bitch'. I turned my back on him, walked away, and I went to our university HR, but I was still on academic probation, and was told it's his word against mine, and there will be trouble for me, not him.  Given my status as a young lecturer (Assistant Professor), I didn't have any support. Fortunately this person is in a different department from mine and that was the last day I ever spoke to him or taught with him. He continues to damage women in the University. Moreover, the MA he was so diligently developing never came to fruition after I turned my back on him. ",Lecturer on probation (Assistant Professor). ,Lecturer on probation (Assistant Professor). ,Lecturer (we were on probation together). He's now a full professor. I am still the equivalent of an Associate Professor. ,Male,Male,Humanities,Research Institute,Faculty,Faculty,Humanities
91,609,[redacted],"1. MA, 2. PhD, 3. MA --- non specific, through career ","1. MA, 2. PhD, 3. MA --- non specific, through career ","1. Full Prof, 2. Full Prof, 3. Post Doc",Male,Male,Anthropology,Multiple,Graduate Student,Graduate Student, Social sciences
92,2037,"At various department social events, other professors made lewd remarks about my wife and other women and daughters. At one party, when my wife was pregnant, she was told that pregnancy must agree with her because her breasts were filling out and looked sexy, and that I must be loving that. I was standing right there! Neither of us knew what to say. At another party, one of them looked my wife up and down from the back in a lewd manner while standing in line to get pot luck dishes and commented on what a sexy figure she has. Again, this is in front of me, so I don't know if that classifies as sexual harassment of her or of me, or of both. At another party, one of them came up behind someone else's tween daughter and pushed her into the pool and then remarked that she was beginning to look great in a wet T-shirt. When I got tenure and my daughters became a bit older we stopped going to social events like the Christmas party, crawfish boil, and so on out of disgust at this toxic department culture. And we didn't want to expose our daughters. I can't remember the last time I went to any department social event (or ""total creep show,"" as my wife refers to them).",Tenure-Track Assistant Professor,Tenure-Track Assistant Professor,Full Professors,Male,Male,Geography;Anthropology,Research Institute,Faculty,Faculty, Social sciences
93,81,"(2007) As an undergrad, a Professor I took a class from only stared at my chest when talking to me, gave all the women (50% of the class) in the class low grades (men all received A's) and told the women they could raise them if they met him privately in his office. I went once, but left almost immediately because something was off.  (2010) Professor who was/is prominent in my subfield at the time just stared at my chest during the entire conversation; (2015) Professor I worked for continually made lewd and inappropriate comments while teaching, and during TA meetings the comments were worse",Graduate Student,Graduate Student,Professor/instructor; Professor in my field (not at my school but a Dean at another university); Professor I worked for as a TA,Male,Male,History,Research Institute,Graduate Student,Chair/Dean/Head,Humanities
94,1275,"a group of my friends and I were groomed by a professor of ours over a period of about 3 years. He pitted us against each other for his approval and attention, purposefully curtailed our friendships with one another, and eventually went so far as to get hotel rooms at the fanciest hotel in the city and invite a few of us to ""visit"" him, and took one of my fellow students (who was maybe 19 years old at the time?) on vacations to New York City and to Paris. He would invite us over to his home to watch films and drink (most of us were under age at the time) and smoke with him. He did his best to make us feel ""special"" and like ""real artists"" or some shit and then he used that to manipulate us. As I was about to graduate, one day he corned me and forcefully kissed me in front of a few of our friends, who laughed as I pushed him away. He did not try to kiss or touch me afterward, likely because I had humiliated him in front of our mutual friends. However, after that I was more or less ""out"" of our group and he ostracized me.",Undergraduate Student,Undergraduate Student,non-tenured faculty,Male,Male,Creative Writing,Regional College,Graduate Student,Faculty,Humanities
95,2417,"Professor I was interested in working with and needed for my committee constantly tried to get my alone, see me socially, stroked my face, and sent me a lewd email.",Senior PhD candidate,Senior Phd Candidate,Retired but still active Professor Emeritus,Man,Other,History;Law,Elite Institution,Graduate Student,Faculty,Humanities
96,319,Campus,Assistant Professor ,Assistant Professor ,One was a senior colleague; the other was a staff person in computer services ,Male,Male,Sociology,Elite Institution,Faculty,Graduate Student, Social sciences
97,1088,1) Male professor was very helpful until I mentioned I had a boyfriend. Then his tone changed entirely. 2) Male advisors invited male students for dinner or drinks - never invited female students. ,Graduate student,Graduate Student,Full professors,Male,Male,Sociology,Elite Institution,Graduate Student,Faculty, Social sciences
98,1147,sexual assault in 2013,graduate student,Graduate Student,professor,Male,Male,Art,Research Institute,Graduate Student,Faculty,Humanities
99,1028,Extended abuse over 4 month period,Student,Student,Professor (not supervisor),Male,Male,Psychology,Elite Institution,Undergraduate Student,Faculty, Social sciences
100,1231,Another grad student shoved his tongue down my throat onstage during performance that did not demand that kind of kiss. I asked him not to and he did it again during each performance.,grad student,Grad Student,grad student colleague,Male,Male,Music,Elite Institution,Graduate Student,Graduate Student,Humanities
101,295,"This is not a specific incident, but a professor at my graduate institution was required to keep his office door open at all times because of an incident involving an undergraduate in one of his classes. As a a result, female grad students in our department were encouraged to seek other advisors. His field had only one other faculty member,
So she became the inevitable choice for most female grad students (and everyone else that was creeped out by this guy).",PhD candidate,Phd Candidate,He was a faculty member on my department but not in my field.,Male,Male,English,Elite Institution,Graduate Student,Faculty,Humanities
